Temp,Rmin,Rnom,Rmax,TCR,postolerance,negtolerance
-30,"4,068,500","4,579,800","5,150,700",-6.371,1.75,-1.96
-29,"3,821,800","4,297,900","4,829,100",-6.332,1.75,-1.95
-28,"3,591,400","4,035,000","4,529,400",-6.292,1.75,-1.95
-27,"3,376,200","3,789,700","4,250,000",-6.253,1.74,-1.94
-26,"3,175,100","3,560,700","3,989,400",-6.215,1.74,-1.94
-25,"2,987,100","3,346,800","3,746,300",-6.177,1.74,-1.93
-24,"2,811,300","3,146,900","3,519,300",-6.139,1.74,-1.93
-23,"2,646,900","2,960,100","3,307,400",-6.101,1.73,-1.92
-22,"2,493,000","2,785,400","3,109,400",-6.064,1.73,-1.92
-21,"2,348,900","2,622,000","2,924,300",-6.027,1.73,-1.91
-20,"2,213,900","2,469,100","2,751,300",-5.990,1.73,-1.91
-19,"2,087,400","2,326,000","2,589,500",-5.954,1.72,-1.90
-18,"1,968,900","2,191,900","2,438,100",-5.918,1.72,-1.90
-17,"1,857,700","2,066,300","2,296,300",-5.882,1.72,-1.89
-16,"1,753,400","1,948,600","2,163,600",-5.847,1.71,-1.89
-15,"1,655,600","1,838,300","2,039,300",-5.812,1.71,-1.88
-14,"1,563,700","1,734,800","1,922,900",-5.777,1.71,-1.88
-13,"1,477,500","1,637,700","1,813,700",-5.743,1.7,-1.87
-12,"1,396,500","1,546,600","1,711,300",-5.708,1.7,-1.87
-11,"1,320,300","1,461,000","1,615,200",-5.675,1.7,-1.86
-10,"1,248,800","1,380,600","1,525,100",-5.641,1.69,-1.85
-9,"1,181,500","1,305,100","1,440,500",-5.608,1.69,-1.85
-8,"1,118,200","1,234,200","1,361,000",-5.575,1.69,-1.84
-7,"1,058,600","1,167,400","1,286,300",-5.542,1.68,-1.84
-6,"1,002,500","1,104,700","1,216,200",-5.509,1.68,-1.83
-5,"949,710","1,045,600","1,150,200",-5.477,1.67,-1.83
-4,"899,970","990,060","1,088,200",-5.445,1.67,-1.82
-3,"853,110","937,740","1,029,800",-5.414,1.67,-1.81
-2,"808,930","888,470","974,940",-5.382,1.66,-1.81
-1,"767,280","842,040","923,260",-5.351,1.66,-1.80
0,"728,000","798,290","874,590",-5.320,1.66,-1.80
1,"690,940","757,050","828,740",-5.289,1.65,-1.79
